2018/05/11 00:46:58      Activity: Searched Results for "shirt" Inserted | Item #: 1289583 | Name: UA Threadborne Siro | Wear: Men’s  Short Sleeve Shirt | Price: $29.99 | Colors: 6  
2018/05/11 01:41:11      Activity: Searched Results for "shirt" Inserted | Item #: 1253534 | Name: UA Tech™ V-Neck | Wear: Men’s  Short Sleeve Shirt | Price: $18.9 | Colors: 2  
2018/05/11 01:41:11      Activity: Searched Results for "shirt" Inserted | Item #: 1307626 | Name: NFL Men&#x27;s Combine Authentic Lockup T-Shirt | Wear: Men’s  Football Graphic T-Shirt | Price: $35.00 | Colors: 1
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1277207 | Name: UA Tech™ | Wear: Women’s Short Sleeve Shirt | Price: $18.7 | Colors: 3  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1242220 | Name: UA Tech™ ¼ Zip | Wear: Men’s  Long Sleeve Shirt | Price: $39.99 | Colors: 8  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1307591 | Name: UA Threadborne™ Twist ½ Zip | Wear: Women’s Long Sleeve Shirt | Price: $29.99 - $37.4 | Colors: 4  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1257615 | Name: UA Sportstyle Logo | Wear: Men’s Graphic T-Shirt | Price: $18.99 - $24.99 | Colors: 7  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1306428 | Name: UA MK-1 | Wear: Men’s  Short Sleeve Shirt | Price: $30.00 | Colors: 7  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1216010 | Name: UA Tactical HeatGear® Compression V-Neck | Wear: Men’s  Tactical Short Sleeve Shirt | Price: $24.99 | Colors: 2  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1005684 | Name: UA Tactical Tech™ | Wear: Men’s  Short Sleeve Shirt | Price: $24.99 | Colors: 5  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1289600 | Name: UA Threadborne Siro ¼ Zip | Wear: Men’s  Long Sleeve Shirt | Price: $44.99 | Colors: 0  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1290341 | Name: UA Performance | Wear: Boys’ Golf Short Sleeve Shirt | Price: $29.99 | Colors: 0  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1306086 | Name: UA Crossfade | Wear: Boys’ Short Sleeve Shirt | Price: $20.00 | Colors: 6  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1268481 | Name: UA Locker | Wear: Women’s Basketball Short Sleeve Shirt | Price: $22.99 | Colors: 5  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1305659 | Name: UA Fast Left Chest Logo | Wear: Men’s  Graphic T-Shirt | Price: $25.00 | Colors: 9  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1306073 | Name: UA Tech™ Big Logo Solid | Wear: Boys’ Short Sleeve Shirt | Price: $20.00 | Colors: 6  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1289609 | Name: UA Threadborne Siro | Wear: Men’s  Long Sleeve Shirt | Price: $32.99 | Colors: 5  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1285637 | Name: UA HeatGear® Armour | Wear: Women’s Short Sleeve Shirt | Price: $27.99 | Colors: 1  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1216007 | Name: UA Tactical HeatGear® Compression | Wear: Men’s  Tactical Short Sleeve Shirt | Price: $24.99 | Colors: 3  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1300000 | Name: Charged Cotton® Crew Undershirt – 2-Pack | Wear: Men’s  Short Sleeve Shirt | Price: $40.00 | Colors: 3  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1290743 | Name: UA Tide Chaser | Wear: Men’s  Fishing Short Sleeve Shirt | Price: $49.99 | Colors: 9  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1289957 | Name: HeatGear® Armour | Wear: Boys’ Short Sleeve Shirt | Price: $24.99 | Colors: 5  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1233665 | Name: Boys’ UA Locker Short Sleeve  | Wear: Boys’ Short Sleeve Shirt | Price: $19.99 | Colors: 3  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1299257 | Name: UA Freedom Flag | Wear: Men’s Short Sleeve Shirt | Price: $24.99 | Colors: 0  
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1306715 | Name: Star Wars UA Squad Leader | Wear: Boys’ Short Sleeve Shirt | Price: $24.99 | Colors: 1
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1299391 | Name: UA Hybrid Big Logo | Wear: Boys’ Long Sleeve Shirt | Price: $29.99 | Colors: 1
2018/05/11 01:41:12      Activity: Searched Results for "shirt" Inserted | Item #: 1300002 | Name: Charged Cotton® V-Neck Undershirt – 2-Pack | Wear: Men’s  Short Sleeve Shirt | Price: $40.00 | Colors: 3  
2018/05/11 01:42:12      Activity: Item Removed by Admin | Item #: 1299391 | Name: UA Hybrid Big Logo | Wear: Boys’ Long Sleeve Shirt | Price: $29.99 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000004 | Name: UA HOVR Phantom Connected  | Wear: Men’s  Running Shoes | Price:   | Colors: 2  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000093 | Name: UA HOVR Phantom Connected | Wear: Women’s Running Shoes | Price: $140.00 | Colors: 4  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3020670 | Name: Grade School UA HOVR Phantom | Wear: Boys’ Running Shoes | Price: $100.00 | Colors: 2  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000005 | Name: UA HOVR Sonic Connected | Wear: Men’s  Running Shoes | Price: $110.00 | Colors: 4  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000094 | Name: UA HOVR Sonic Connected | Wear: Women’s Running Shoes | Price: $110.00 | Colors: 3  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3022239 | Name: UA ICON RailFit  | Wear: Men’s Custom Shoes | Price: $120.00 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3022240 | Name: UA ICON RailFit | Wear: Women’s Custom Shoes | Price: $120.00 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000042 | Name: UA ICON Ignite Slides | Wear: Men’s Custom Sandals | Price: $55.00 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000043 | Name: UA ICON Ignite Slides | Wear: Women’s Custom Sandals | Price: $55.00 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3020952 | Name: UA HOVR Phantom Heather | Wear: Women’s Running Shoes | Price: $130.00 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3020667 | Name: Grade School UA HOVR Phantom | Wear: Girls’ Running Shoes | Price: $100.00 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3020978 | Name: UA HOVR Sonic | Wear: Men’s  Running Shoes | Price: $100.00 | Colors: 4  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3020977 | Name: UA HOVR Sonic | Wear: Women’s Running Shoes | Price: $100.00 | Colors: 2  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000029 | Name: UA Street Encounter IV | Wear: Men’s Lifestyle Shoes | Price: $60.00 | Colors: 9  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1252540 | Name: UA Atlantic Dune | Wear: Women’s Surf Slides | Price: $21.99 | Colors: 6  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1297449 | Name: UA Toccoa | Wear: Men’s  Running Shoes | Price: $69.99 | Colors: 6  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1298306 | Name: UA Curry 4 | Wear: Men’s  Basketball Shoes | Price: $129.99 | Colors: 8  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1296252 | Name: Grade School UA Primed 2 | Wear: Boys’ Running Shoes | Price: $64.99 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1287318 | Name: UA Ignite V | Wear: Men’s Slides | Price: $34.99 | Colors: 5  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1295725 | Name: UA Charged Bandit 3  | Wear: Men’s  Running Shoes | Price: $80.00 | Colors: 1  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000329 | Name: UA Ultimate Speed | Wear: Men’s Training Shoes | Price: $99.99 | Colors: 7  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1268873 | Name: UA Kilchis | Wear: Men’s  Fishing | Price: $69.99 | Colors: 4  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1295995 | Name: Grade School UA Curry 4 Mid  | Wear: Boys’ Basketball Shoes | Price: $109.99 | Colors: 7  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1302497 | Name: UA Charged 24/7 NU | Wear: Men’s  Shoes | Price: $74.99 - $79.99 | Colors: 2  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000072 | Name: UA Marbella VI | Wear: Women’s Surf Slides | Price: $32.00 | Colors: 6  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1296206 | Name: UA Threadborne Push | Wear: Women’s Shoes | Price: $109.99 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1302646 | Name: Pre-School UA Primed 2 Adjustable Closure | Wear: Boys’ Running Shoes | Price: $57.99 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000331 | Name: UA Limitless 3.0 | Wear: Men’s  Shoes | Price: $80.00 | Colors: 4  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1287325 | Name: UA Locker III | Wear: Men’s  Slides | Price: $19.99 | Colors: 3  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3020138 | Name: UA RailFit | Wear: Men’s  Shoes | Price: $90.00 | Colors: 8  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3019973 | Name: UA Breathe Lace | Wear: Women’s Shoes | Price:   | Colors: 4  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3020414 | Name: UA Drive 4 Low Rookie LE  | Wear: Men’s Basketball Shoes | Price: $109.99 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1285676 | Name: UA Threadborne Slingflex | Wear: Men’s Shoes | Price: $99.99 | Colors: 3  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000103 | Name: UA Lightning 2 | Wear: Women’s Running Shoes | Price: $85.00 | Colors: 3  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1258776 | Name: Infant UA Thrill | Wear: Boys’ Running Shoes | Price: $35.99 | Colors: 2  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1295776 | Name: UA Limitless 3.0 | Wear: Men’s  Shoes | Price: $79.99 | Colors: 3  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000083 | Name: UA Curry 4 Low | Wear: Men’s  Basketball Shoes | Price: $120.00 | Colors: 4  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1285681 | Name: UA Charged Lightning | Wear: Men’s Running Shoes | Price: $84.99 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1295996 | Name: Pre-School UA Curry 4 Mid | Wear: Boys’ Basketball Shoes | Price: $79.99 | Colors: 7  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3020673 | Name: UA Micro G® Assert 7 | Wear: Men’s  Running Shoes | Price: $70.00 | Colors: 4  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1295724 | Name: UA Threadborne Slingwrap | Wear: Men’s Lifestyle Shoes | Price: $99.99 | Colors: 3  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1295768 | Name: UA Threadborne Fortis 3 | Wear: Women’s Running Shoes | Price: $109.99 | Colors: 2  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1285439 | Name: Pre-School UA Micro G® Fuel | Wear: Boys’ Running Shoes | Price: $57.99 | Colors: 2  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3019874 | Name: UA Slingflex Rise | Wear: Men’s  Shoes | Price: $100.00 | Colors: 7  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3020924 | Name: UA ICON Highlight MC | Wear: Men’s Custom Cleats | Price: $160.00 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1257847 | Name: UA Valsetz RTS Side-Zip Tactical | Wear: Men’s  Tactical Boots | Price: $124.99 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1287319 | Name: UA Ignite VII | Wear: Women’s Slides | Price: $31.99 | Colors: 5  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3019908 | Name: UA Ultimate Speed | Wear: Women’s Shoes | Price: $100.00 | Colors: 3  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1266210 | Name: UA Fat Tire Sandals | Wear: Men’s Sandals | Price: $64.99 | Colors: 4  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1250592 | Name: UA Valsetz RTS | Wear: Women’s Tactical Boots | Price: $119.99 | Colors: 2  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3000089 | Name: UA Heatseeker | Wear: Men’s  Basketball Shoes | Price: $115.00 | Colors: 0  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1297316 | Name: UA Leadoff Low RM Jr. | Wear: Boys’ Baseball Shoes | Price: $32.99 | Colors: 7  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1287320 | Name: UA Ignite V | Wear: Boys’ Slides | Price: $29.99 | Colors: 3  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1298664 | Name: UA Charged Bandit 3  | Wear: Women’s Running Shoes | Price: $80.00 | Colors: 8  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 3021055 | Name: UA x Project Rock Delta | Wear: Men’s Training Shoes | Price: $140.00 | Colors: 2  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1292146 | Name: UA Ultimate Turf | Wear: Men’s Training Shoes | Price: $69.99 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1296009 | Name: Grade School UA Jet 2017 | Wear: Boys’ Basketball Shoes | Price: $54.99 | Colors: 5  
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1287343 | Name: UA Post Canyon Mid | Wear: Men’s  Hiking Boots | Price: $109.99 | Colors: 1
2018/05/11 01:46:58      Activity: Searched Results for "shoes" Inserted | Item #: 1287337 | Name: UA Horizon RTT | Wear: Men’s Trail Running Shoes | Price: $109.99 | Colors: 4  
2018/05/11 01:58:50	All Data From System Deleted.
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289583 | Name: UA Threadborne Siro | Wear: Men’s  Short Sleeve Shirt | Price: $29.99 | Colors: 6  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1257468 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Short Sleeve Shirt | Price: $27.99 | Colors: 8  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1257471 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Long Sleeve Shirt | Price: $34.99 | Colors: 8  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1228539 | Name: UA Tech™ | Wear: Men’s  Short Sleeve Shirt | Price: $24.99 | Colors: 8  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289587 | Name: UA Threadborne Siro V-Neck | Wear: Men’s Short Sleeve Shirt | Price: $29.99 | Colors: 6  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1257616 | Name: UA Charged Cotton® Left Chest Lockup | Wear: Men’s  Short Sleeve Shirt | Price: $24.99 | Colors: 8  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289596 | Name: UA Seamless | Wear: Men’s  Short Sleeve Shirt | Price: $39.99 | Colors: 3  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1257468 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Short Sleeve Shirt | Price: $16.7 | Colors: 7  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289583 | Name: UA Threadborne Siro | Wear: Men’s  Short Sleeve Shirt | Price: $17.9 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289586 | Name: UA Threadborne Siro Twist | Wear: Men’s  Short Sleeve Shirt | Price: $17.99 - $22.9 | Colors: 8  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1257471 | Name: UA HeatGear® Armour Compression Shirt | Wear: Men’s  Long Sleeve Shirt | Price: $18.99 - $20.9 | Colors: 7  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1228539 | Name: UA Tech™ | Wear: Men’s  Short Sleeve Shirt | Price: $19.9 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1299461 | Name: UA Big Logo Hybrid Printed | Wear: Boys’ Short Sleeve Shirt | Price: $12.50 - $18.9 | Colors: 1  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289587 | Name: UA Threadborne Siro V-Neck | Wear: Men’s Short Sleeve Shirt | Price: $17.9 | Colors: 6  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1257616 | Name: UA Charged Cotton® Left Chest Lockup | Wear: Men’s  Short Sleeve Shirt | Price: $18.7 | Colors: 2  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289596 | Name: UA Seamless | Wear: Men’s  Short Sleeve Shirt | Price: $18.99 - $29.9 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1257466 | Name: UA Raid | Wear: Men’s  Short Sleeve Shirt | Price: $29.99 | Colors: 6  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1290672 | Name: UA Big Logo | Wear: Women’s Short Sleeve Shirt | Price: $24.99 | Colors: 1
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1265929 | Name: UA Wordmark | Wear: Men’s  Graphic T-Shirt | Price: $24.99 | Colors: 1
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289650 | Name: UA Threadborne Train Twist V-Neck | Wear: Women’s Short Sleeve Shirt | Price: $29.99 | Colors: 9  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1253534 | Name: UA Tech™ V-Neck | Wear: Men’s  Short Sleeve Shirt | Price: $24.99 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1307591 | Name: UA Threadborne™ Twist ½ Zip | Wear: Women’s Long Sleeve Shirt | Price: $49.99 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1257466 | Name: UA Raid | Wear: Men’s  Short Sleeve Shirt | Price: $17.99 - $22.4 | Colors: 4  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1255839 | Name: UA Tech™ V-Neck | Wear: Women’s Short Sleeve Shirt | Price: $18.7 | Colors: 3  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289584 | Name: UA Threadborne Siro Embossed | Wear: Men’s  Short Sleeve Shirt | Price: $17.9 | Colors: 7  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1265929 | Name: UA Wordmark | Wear: Men’s  Graphic T-Shirt | Price: $17.9 | Colors: 2  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1290097 | Name: UA Hybrid Big Logo | Wear: Boys’ Short Sleeve Shirt | Price: $12.5 | Colors: 7  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1271823 | Name: UA Threadborne Streaker | Wear: Men’s  Running Short Sleeve Shirt | Price: $29.99 | Colors: 8  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1258568 | Name: UA Tech™ V-Neck - Twist | Wear: Women’s Short Sleeve Shirt | Price: $18.7 | Colors: 2  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1290672 | Name: UA Big Logo | Wear: Women’s Short Sleeve Shirt | Price: $14.99 - $18.9 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1286334 | Name: UA Storm Armour Fleece® ¼ Zip | Wear: Men’s  Long Sleeve Shirt | Price: $32.99 - $41.2 | Colors: 9  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1271517 | Name: UA Streaker | Wear: Women’s Running Short Sleeve Shirt | Price: $29.99 | Colors: 9  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289650 | Name: UA Threadborne Train Twist V-Neck | Wear: Women’s Short Sleeve Shirt | Price: $20.9 | Colors: 1
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1253534 | Name: UA Tech™ V-Neck | Wear: Men’s  Short Sleeve Shirt | Price: $18.9 | Colors: 2  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1307626 | Name: NFL Men&#x27;s Combine Authentic Lockup T-Shirt | Wear: Men’s  Football Graphic T-Shirt | Price: $35.00 | Colors: 1
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1277207 | Name: UA Tech™ | Wear: Women’s Short Sleeve Shirt | Price: $18.7 | Colors: 3  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1307591 | Name: UA Threadborne™ Twist ½ Zip | Wear: Women’s Long Sleeve Shirt | Price: $29.99 - $37.4 | Colors: 4  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1242220 | Name: UA Tech™ ¼ Zip | Wear: Men’s  Long Sleeve Shirt | Price: $39.99 | Colors: 8  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1257615 | Name: UA Sportstyle Logo | Wear: Men’s Graphic T-Shirt | Price: $18.99 - $24.99 | Colors: 7  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1306428 | Name: UA MK-1 | Wear: Men’s  Short Sleeve Shirt | Price: $30.00 | Colors: 7  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1216010 | Name: UA Tactical HeatGear® Compression V-Neck | Wear: Men’s  Tactical Short Sleeve Shirt | Price: $24.99 | Colors: 2  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1005684 | Name: UA Tactical Tech™ | Wear: Men’s  Short Sleeve Shirt | Price: $24.99 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289600 | Name: UA Threadborne Siro ¼ Zip | Wear: Men’s  Long Sleeve Shirt | Price: $44.99 | Colors: 0  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1290341 | Name: UA Performance | Wear: Boys’ Golf Short Sleeve Shirt | Price: $29.99 | Colors: 0  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1306086 | Name: UA Crossfade | Wear: Boys’ Short Sleeve Shirt | Price: $20.00 | Colors: 6  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1268481 | Name: UA Locker | Wear: Women’s Basketball Short Sleeve Shirt | Price: $22.99 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1305659 | Name: UA Fast Left Chest Logo | Wear: Men’s  Graphic T-Shirt | Price: $25.00 | Colors: 9  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1306073 | Name: UA Tech™ Big Logo Solid | Wear: Boys’ Short Sleeve Shirt | Price: $20.00 | Colors: 6  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289609 | Name: UA Threadborne Siro | Wear: Men’s  Long Sleeve Shirt | Price: $32.99 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1285637 | Name: UA HeatGear® Armour | Wear: Women’s Short Sleeve Shirt | Price: $27.99 | Colors: 1  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1216007 | Name: UA Tactical HeatGear® Compression | Wear: Men’s  Tactical Short Sleeve Shirt | Price: $24.99 | Colors: 3  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1300000 | Name: Charged Cotton® Crew Undershirt – 2-Pack | Wear: Men’s  Short Sleeve Shirt | Price: $40.00 | Colors: 3  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1299257 | Name: UA Freedom Flag | Wear: Men’s Short Sleeve Shirt | Price: $24.99 | Colors: 0  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1290743 | Name: UA Tide Chaser | Wear: Men’s  Fishing Short Sleeve Shirt | Price: $49.99 | Colors: 9  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1233665 | Name: Boys’ UA Locker Short Sleeve  | Wear: Boys’ Short Sleeve Shirt | Price: $19.99 | Colors: 3  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1289957 | Name: HeatGear® Armour | Wear: Boys’ Short Sleeve Shirt | Price: $24.99 | Colors: 5  
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1306715 | Name: Star Wars UA Squad Leader | Wear: Boys’ Short Sleeve Shirt | Price: $24.99 | Colors: 1
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1299391 | Name: UA Hybrid Big Logo | Wear: Boys’ Long Sleeve Shirt | Price: $29.99 | Colors: 1
2018/05/11 01:59:22      Activity: Searched Results for "shirt" Inserted | Item #: 1300002 | Name: Charged Cotton® V-Neck Undershirt – 2-Pack | Wear: Men’s  Short Sleeve Shirt | Price: $40.00 | Colors: 3  
2018/05/11 01:59:52	All Data From System Deleted.
